Place_ID,Operator,Bussiness_Status,Location_Name,Address,Latitude,Longitude,Usage,Number_of_Connectors,Min_Power_kW,Max_Power_kW,Max_Charging_Type,Rapid_Charge_Available,Fast_Charge_Available,Slow_Charge_Available
256923,Char.gy,Operational,1-20 Pascall House,"1 - 20 Pascall House, Draco Street, SE17 3HX",51.4841277,-0.0985784,Public,1,5.1,5.1,Slow,No,No,Yes
236376,Char.gy,Operational,45-77 Fielding Street,"45 - 77 Fielding Street, London, SE17 3HE",51.4850984,-0.0975532,Public,1,3.5,3.5,Slow,No,No,Yes
236357,Char.gy,Operational,106-116 Penrose Street,"106 - 116 Penrose Street, London, SE17 3ED",51.4856762,-0.0981121,Public,1,3.5,3.5,Slow,No,No,Yes
236353,Char.gy,Operational,19 Pelier Street,"19 Pelier Street, London, SE17 3JG",51.4841203,-0.096152,Public,1,5.1,5.1,Slow,No,No,Yes
236354,Char.gy,Operational,Pelier Estate,"Pelier Estate, Langdale Close, SE17 3UF",51.4842279,-0.0963763,Public,1,5.1,5.1,Slow,No,No,Yes
236334,Char.gy,Operational,Column 2,"Column 2, Pelier Street, SE17 3JG",51.4839594,-0.0960412,Public,1,5.1,5.1,Slow,No,No,Yes
236340,Char.gy,Operational,Pelier Estate,"Pelier Estate, Dartford Street, SE17 3UD",51.484337,-0.0959246,Public,1,5.1,5.1,Slow,No,No,Yes
236485,Char.gy,Operational,15 John Ruskin Street,"15 John Ruskin Street, London, SE5 0PR",51.4837069,-0.0950415,Public,1,3.5,3.5,Slow,No,No,Yes
259138,Char.gy,Operational,12 Cadiz Street,"12 Cadiz Street, London, SE17 2TJ",51.4866331,-0.0939198,Public,1,5.1,5.1,Slow,No,No,Yes
236391,Char.gy,Operational,Opposite Old Station House,"Opposite Old Station House, Carter Place, SE17 2TF",51.4868626,-0.0961952,Public,1,3.5,3.5,Slow,No,No,Yes
237153,Char.gy,Operational,Opposite 295a Walworth Place,"Opposite 295a Walworth Place, London, SE17 2TG",51.4874475,-0.0944998,Public,1,5.1,5.1,Slow,No,No,Yes
259321,Char.gy,Operational,33 Manor Place,"33 Manor Place, London, SE17 3BH",51.4887128,-0.0981776,Public,1,3.5,3.5,Slow,No,No,Yes
256611,Char.gy,Operational,George Elliot House,"George Elliot House, Crampton Street, SE17 3AE",51.4892516,-0.0988541,Public,1,3.5,3.5,Slow,No,No,Yes
236359,Char.gy,Operational,100-114 Amelia Street,"100 - 114 Amelia Street, London, SE17 3AS",51.489396,-0.0996928,Public,1,5.1,5.1,Slow,No,No,Yes
236912,Char.gy,Operational,Opposite 2 Cole Street,"Opposite 2 Cole Street, London, SE1 4LD",51.4997563,-0.093275,Public,1,5.1,5.1,Slow,No,No,Yes
189023,MFG EV Power,Operational,MFG Newington,"197-209 New Kent Road, London, SE1 4AG",51.4944354379463,-0.090926569062276,Public - Pay At Location,2,50.0,150.0,Rapid,Yes,No,No
154604,Shell Recharge Solutions (UK),Unknown,Deverell Street,"Deverell Street, London, SE1 4AA",51.496248,-0.090591,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
154716,Shell Recharge Solutions (UK),Unknown,Deverell Street,"Deverell Street, London, SE1 4AA",51.496248,-0.090591,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
236861,Char.gy,Operational,Tabard Street,"Tabard Street, adjacent to Becket Street, SE1 4XY",51.4988467,-0.0901423,Public,1,5.1,5.1,Slow,No,No,Yes
236860,Char.gy,Operational,Becket House,"Becket House, Tabard Street, SE1 4XY",51.499013,-0.0903243,Public,1,5.1,5.1,Slow,No,No,Yes
236885,Char.gy,Operational,28 Cole Street,"28 Cole Street, London, SE1 4YH",51.499034,-0.0924563,Public,1,5.1,5.1,Slow,No,No,Yes
259101,Char.gy,Operational,Opposite Rosa Parks House,"Opposite Rosa Parks House, Munton Road, SE17 1PR",51.4934119,-0.0930042,Public,1,5.1,5.1,Slow,No,No,Yes
236393,Char.gy,Operational,Block G Peabody Estate,"Block G Peabody Estate, Content Street, SE17 1BL",51.4914322,-0.0925708,Public,1,5.1,5.1,Slow,No,No,Yes
256608,Char.gy,Operational,87 Rodney Road,"87 Rodney Road, London, SE17 1AT",51.4918371,-0.0917953,Public,1,5.1,5.1,Slow,No,No,Yes
236806,Char.gy,Operational,Opposite Blendon House,"Opposite Blendon House, Wadding Street, SE17 1BX",51.4913651,-0.0913198,Public,1,4.8,4.8,Slow,No,No,Yes
236387,Char.gy,Operational,7 Henshaw Street,"7 Henshaw Street, London, SE17 1PD",51.4926774,-0.0910083,Public,1,5.1,5.1,Slow,No,No,Yes
